,title,release_date,revenue,runtime,budget,original_language,genres,imdb_rating,imdb_votes
4951,Lords of Dogtown,2005-06-03,13411957.0,107.0,25000000.0,en,Drama,7.1,58843.0
4952,Accepted,2006-08-18,38505009.0,93.0,23000000.0,en,Comedy,6.4,141419.0
4955,The Hills Have Eyes,2006-03-10,69623713.0,107.0,15000000.0,en,"Horror, Thriller",6.4,186258.0
4956,The Hills Have Eyes 2,2007-03-22,37697773.0,90.0,15000000.0,en,"Horror, Thriller",5.1,68484.0
4957,Employee of the Month,2006-10-06,38528984.0,103.0,12000000.0,en,"Comedy, Romance",5.6,50739.0
4958,Turistas,2006-12-01,14652825.0,93.0,10000000.0,en,"Horror, Thriller",5.4,41143.0
4963,Bridget Jones: The Edge of Reason,2004-11-10,265126918.0,108.0,40000000.0,en,"Comedy, Romance",6.0,124066.0
4968,The Incredibles,2004-10-27,631442092.0,115.0,92000000.0,en,"Action, Adventure, Animation, Family",8.0,827948.0
4970,Let's Go to Prison,2006-11-17,4630045.0,84.0,4000000.0,en,"Comedy, Crime",5.9,26663.0
4973,The Quiet,2005-09-12,381420.0,96.0,900000.0,en,"Drama, Thriller",6.1,17689.0
4975,Goal II: Living the Dream,2007-02-09,7900000.0,115.0,10000000.0,en,Drama,5.8,34362.0
4987,Unknown,2006-11-03,3419456.0,85.0,3700000.0,en,"Thriller, Mystery, Adventure, Crime",6.4,31679.0
4988,United 93,2006-04-28,76300000.0,111.0,15000000.0,en,"Drama, History, Crime, Thriller, Action",7.6,112137.0
4991,The Phantom of the Opera,2004-12-08,154674241.0,141.0,70000000.0,en,"Thriller, Drama, Romance",7.2,132193.0
4994,Happy Feet,2006-11-16,384335608.0,108.0,100000000.0,en,"Animation, Comedy, Family",6.4,202970.0
5000,School for Scoundrels,2006-09-29,17800000.0,100.0,20000000.0,en,"Comedy, Romance",5.9,30931.0
5010,Forgetting Sarah Marshall,2008-04-17,105173115.0,111.0,30000000.0,en,"Comedy, Romance, Drama",7.1,305828.0
5025,Wolf Creek,2005-09-16,30894796.0,104.0,1000000.0,en,"Horror, Thriller",6.2,79896.0
5028,The Stepford Wives,2004-06-10,102000000.0,93.0,90000000.0,en,"Comedy, Science Fiction, Horror",5.4,70630.0
5030,Sleepover,2004-07-09,10143022.0,89.0,10000000.0,en,"Family, Comedy",5.3,18329.0
5032,Man of the Year,2006-10-09,42500000.0,115.0,20000000.0,en,"Comedy, Romance, Thriller",6.2,35597.0
5036,The Producers,2005-12-25,38058335.0,135.0,45000000.0,en,Comedy,6.3,45237.0
5037,Grandma's Boy,2006-01-06,6538177.0,95.0,5000000.0,en,Comedy,6.9,89533.0
5039,Wrong Turn,2003-05-30,28650575.0,84.0,12600000.0,en,"Horror, Thriller",6.1,134780.0
5040,The Hoax,2006-10-14,11772461.0,116.0,25000000.0,en,"Comedy, Drama",6.7,17306.0
5041,The Wild,2006-04-06,102338515.0,95.0,80000000.0,en,"Family, Animation",5.2,28071.0
5043,The Ant Bully,2006-07-28,55200000.0,88.0,50000000.0,en,"Fantasy, Adventure, Animation, Comedy, Family",5.8,42357.0
5044,Barnyard,2006-08-04,116500000.0,90.0,51000000.0,en,"Animation, Comedy, Family",5.6,35260.0
5047,Two for the Money,2005-10-07,30526509.0,122.0,35000000.0,en,"Comedy, Crime, Drama, Thriller",6.2,49222.0
5049,The World's Fastest Indian,2005-10-12,18300000.0,127.0,25000000.0,en,"Drama, Adventure, History",7.8,60081.0
5050,The Skeleton Key,2005-07-29,93983911.0,104.0,43000000.0,en,"Drama, Horror, Mystery, Thriller",6.5,124859.0
5053,The Last Sin Eater,2007-02-09,388390.0,117.0,2200000.0,en,Drama,5.7,2020.0
5056,How to Lose a Guy in 10 Days,2003-02-07,177500000.0,116.0,50000000.0,en,"Comedy, Romance",6.5,279864.0
5057,Ultraviolet,2006-03-03,31100000.0,87.0,30000000.0,en,"Science Fiction, Action, Thriller",4.4,84524.0
5060,Domino,2005-10-14,22900000.0,127.0,50000000.0,en,"Action, Crime",5.9,69881.0
5064,Robots,2005-03-10,262511490.0,90.0,75000000.0,en,"Animation, Comedy, Family, Science Fiction",6.4,165076.0
5079,Elektra,2005-01-13,56681566.0,97.0,43000000.0,en,"Action, Fantasy, Adventure",4.7,99980.0
5082,Find Me Guilty,2006-03-16,2636637.0,125.0,13000000.0,en,"Comedy, Crime, Drama",7.0,36713.0
5084,Rescue Dawn,2006-09-09,7177143.0,120.0,10000000.0,en,"Adventure, Drama, War",7.3,112074.0
5086,The Covenant,2006-09-07,37597471.0,97.0,20000000.0,en,"Fantasy, Horror, Adventure, Action",5.2,52634.0
5087,Blades of Glory,2007-03-30,118200000.0,93.0,53000000.0,en,Comedy,6.3,179575.0
5090,Trailer Park Boys: The Movie,2006-10-06,3833507.0,95.0,5000000.0,en,Comedy,7.1,13703.0
5091,Freedomland,2006-02-17,14655628.0,113.0,37665000.0,en,"Drama, Thriller, Crime, Mystery",5.2,17361.0
5094,Premonition,2007-02-08,84297309.0,96.0,20000000.0,en,"Thriller, Drama, Mystery",5.9,82397.0
5097,The Messengers,2007-02-02,55060212.0,90.0,16000000.0,en,"Mystery, Thriller, Horror",5.3,41484.0
5099,The Big White,2005-10-27,541840.0,100.0,14000000.0,en,"Comedy, Crime, Drama",6.3,15411.0
5100,Deck the Halls,2006-11-22,47231070.0,93.0,51000000.0,en,"Comedy, Family",5.1,33444.0
5105,Curious George,2006-02-10,69834815.0,87.0,50000000.0,en,"Adventure, Animation, Comedy, Family",6.5,18460.0
5108,Stormbreaker,2006-07-21,23900000.0,93.0,40000000.0,en,"Adventure, Action, Family",5.1,25829.0
5110,Kicking & Screaming,2005-05-13,56070433.0,95.0,45000000.0,en,"Family, Comedy",5.6,41377.0
5111,Chicken Little,2005-11-04,314400000.0,81.0,150000000.0,en,"Animation, Family, Comedy",5.7,102491.0
5114,Charlotte's Web,2006-12-07,144000000.0,97.0,85000000.0,en,"Comedy, Family, Fantasy",6.3,47241.0
5116,Beerfest,2006-08-25,19179969.0,110.0,17500000.0,en,Comedy,6.2,71955.0
5124,Gabriel,2007-11-15,1395610.0,109.0,200000.0,en,"Fantasy, Horror, Action, Science Fiction",5.5,14333.0
5134,See No Evil,2006-05-19,18700000.0,84.0,8000000.0,en,"Horror, Thriller",5.0,29273.0
5135,An American Haunting,2005-05-05,29612137.0,83.0,14000000.0,en,"Horror, Thriller, Mystery",5.0,27145.0
5136,Brother Bear,2003-10-23,250397798.0,85.0,128000000.0,en,"Adventure, Animation, Family",6.9,126463.0
5139,Cursed,2005-02-25,19300000.0,99.0,35000000.0,en,"Horror, Comedy",5.1,35473.0
5149,The Pacifier,2005-03-04,198636868.0,95.0,56000000.0,en,"Comedy, Family, Action",5.6,102221.0
5151,My Sister's Keeper,2009-06-26,95714875.0,109.0,30000000.0,en,Drama,7.3,99309.0
5152,Just My Luck,2006-05-12,38159905.0,103.0,28000000.0,en,"Comedy, Drama, Family, Fantasy, Romance",5.5,62443.0
5154,Unleashed,2005-02-02,50871113.0,103.0,45000000.0,en,"Action, Crime",7.0,108902.0
5155,Honey,2003-11-24,62646763.0,94.0,18000000.0,en,"Music, Drama, Romance",5.3,47910.0
5157,Good Luck Chuck,2007-09-21,59768495.0,101.0,25000000.0,en,"Comedy, Romance",5.6,95547.0
5173,Stealth,2005-07-27,76932943.0,121.0,135000000.0,en,Science Fiction,5.1,56689.0
5178,When a Stranger Calls,2006-02-03,67062123.0,87.0,15000000.0,en,"Horror, Mystery",5.1,49221.0
5183,Get Rich or Die Tryin',2005-11-09,46442528.0,117.0,40000000.0,en,"Drama, Crime, Music",5.5,50963.0
5187,Edison,2005-07-29,4165675.0,99.0,25000000.0,en,"Drama, Action, Thriller",5.3,16453.0
5188,The Amityville Horror,2005-04-14,107516369.0,90.0,19000000.0,en,Horror,5.9,118757.0
5189,House of Wax,2005-05-05,68766121.0,113.0,40000000.0,en,"Mystery, Horror, Thriller",5.5,136397.0
5190,The Shaggy Dog,2006-03-09,87134280.0,98.0,50000000.0,en,"Comedy, Family",4.4,20367.0
5192,Stay Alive,2006-03-24,27105095.0,86.0,9000000.0,en,"Horror, Mystery, Thriller",5.0,34411.0
5193,Feast,2005-10-14,658573.0,92.0,3200000.0,en,"Horror, Action",6.2,34434.0
5196,Date Movie,2006-02-17,85749034.0,83.0,20000000.0,en,"Comedy, Romance",2.8,62608.0
5198,Blood and Chocolate,2007-01-26,6300000.0,98.0,15000000.0,en,"Drama, Fantasy, Horror, Romance",5.3,18427.0
5200,A Sound of Thunder,2005-05-15,11700000.0,101.0,80000000.0,en,"Thriller, Science Fiction, Adventure, Action",4.2,20706.0
5212,Reno 911!: Miami,2007-02-23,20342161.0,83.0,10000000.0,en,"Action, Comedy, Crime",5.9,28127.0
5214,Cry_Wolf,2005-09-16,10047674.0,90.0,1000000.0,en,"Horror, Thriller",5.8,28817.0
5215,The Return,2006-11-10,11992014.0,85.0,15000000.0,en,"Horror, Drama, Thriller",4.7,12424.0
5218,13 Going on 30,2004-04-13,96500000.0,98.0,37000000.0,en,"Comedy, Fantasy, Romance",6.3,223592.0
5225,Saints and Soldiers,2003-09-11,1310470.0,90.0,780000.0,en,"War, Drama, Action, Adventure, History",6.7,21539.0
5257,Iron Man 2,2010-04-28,623933331.0,124.0,200000000.0,en,"Adventure, Action, Science Fiction",6.9,882763.0
5258,Milk,2008-11-05,54600000.0,128.0,20000000.0,en,"History, Drama",7.5,181036.0
5259,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,415686217.0,113.0,155000000.0,en,"Adventure, Family, Fantasy",6.3,168735.0
5263,The Forgotten,2004-09-24,117592831.0,91.0,42000000.0,en,"Thriller, Drama, Mystery, Science Fiction",5.8,68803.0
5265,Bad Santa,2003-11-26,76500000.0,92.0,23000000.0,en,"Drama, Comedy, Crime",7.0,156177.0
5270,Dumb and Dumberer: When Harry Met Lloyd,2003-04-14,39267515.0,85.0,19000000.0,en,Comedy,3.4,42917.0
5277,The Rundown,2003-09-26,80900000.0,104.0,85000000.0,en,"Adventure, Action, Comedy, Thriller",6.7,144575.0
5299,Frozen River,2008-03-26,5457664.0,97.0,1000000.0,en,Drama,7.1,26598.0
5300,He's Just Not That Into You,2009-02-06,178866158.0,129.0,40000000.0,en,"Comedy, Romance, Drama",6.4,184511.0
5301,The Midnight Meat Train,2008-08-07,3533227.0,98.0,15000000.0,en,"Horror, Mystery, Fantasy",6.0,72266.0
5302,The Rocker,2008-08-20,8762890.0,102.0,15000000.0,en,"Comedy, Music",6.2,40429.0
5303,Swing Vote,2008-08-01,17600000.0,120.0,21000000.0,en,"Comedy, Drama",6.1,19617.0
5304,The Sisterhood of the Traveling Pants 2,2008-08-06,44352417.0,117.0,27000000.0,en,"Adventure, Comedy, Drama",6.2,31059.0
5305,Pineapple Express,2008-08-06,101624843.0,111.0,27000000.0,en,"Action, Comedy, Crime",6.9,361031.0
5307,How to Train Your Dragon,2010-03-18,494879471.0,98.0,165000000.0,en,"Fantasy, Adventure, Animation, Family",8.1,816375.0
5308,Shrek Forever After,2010-05-16,752600867.0,93.0,165000000.0,en,"Comedy, Adventure, Fantasy, Animation, Family",6.3,228872.0
5309,Toy Story 3,2010-06-16,1067316101.0,103.0,200000000.0,en,"Animation, Family, Comedy",8.3,907385.0
5310,Thor,2011-04-21,449326618.0,115.0,150000000.0,en,"Adventure, Fantasy, Action",7.0,913698.0
5311,The Last Airbender,2010-06-30,319713881.0,103.0,150000000.0,en,"Action, Adventure, Fantasy",4.0,176580.0
5312,Nine,2009-12-03,53825515.0,118.0,80000000.0,en,"Drama, Music, Romance",5.8,45511.0
5313,The Princess and the Frog,2009-12-08,270997378.0,98.0,105000000.0,en,"Animation, Romance, Fantasy, Family",7.2,171398.0
5314,The Tale of Despereaux,2008-12-18,87000000.0,93.0,60000000.0,en,"Adventure, Animation, Family",6.1,40266.0
5315,The Day the Earth Stood Still,2008-12-10,233093859.0,104.0,80000000.0,en,"Drama, Science Fiction, Thriller",5.5,180431.0
5316,Yes Man,2008-12-09,223200000.0,104.0,70000000.0,en,"Comedy, Romance",6.8,387739.0
5317,Bedtime Stories,2008-12-24,212874864.0,99.0,80000000.0,en,"Fantasy, Comedy, Family, Romance",6.0,102424.0
5318,Around the World in 80 Days,2004-06-16,72178895.0,120.0,110000000.0,en,"Action, Adventure, Comedy",5.9,96001.0
5328,Son of the Mask,2005-02-11,59918422.0,94.0,84000000.0,en,"Fantasy, Comedy, Family, Adventure",2.3,60012.0
5372,Tamara,2005-05-12,206871.0,98.0,4750000.0,en,"Horror, Thriller",5.0,11237.0
5395,Fido,2006-09-07,426224.0,92.0,8000000.0,en,"Horror, Comedy, Romance, Drama",6.7,30376.0
5400,Vacancy,2007-04-20,35300645.0,85.0,19000000.0,en,"Horror, Thriller",6.2,109021.0
5417,The Men Who Stare at Goats,2009-10-17,68729358.0,94.0,24000000.0,en,"Comedy, War",6.2,138735.0
5419,Fantastic Mr. Fox,2009-10-23,46471023.0,87.0,40000000.0,en,"Adventure, Animation, Comedy, Family",7.9,276734.0
5420,The Ides of March,2011-09-24,76338111.0,101.0,12500000.0,en,Drama,7.1,232716.0
5421,Our Brand Is Crisis,2015-09-11,7002261.0,108.0,28000000.0,en,"Comedy, Drama",6.1,23404.0
5423,The Ring Two,2005-03-10,161451538.0,110.0,50000000.0,en,"Drama, Horror, Thriller",5.4,102131.0
5428,"Legally Blonde 2: Red, White & Blonde",2003-07-02,124914842.0,95.0,45000000.0,en,"Comedy, Romance",4.8,74014.0
5431,Freaky Friday,2003-08-05,160846332.0,97.0,26000000.0,en,"Comedy, Family, Fantasy",6.3,156094.0
5454,Zack and Miri Make a Porno,2008-09-18,42105111.0,102.0,24000000.0,en,"Comedy, Romance",6.5,183276.0
5458,Two Lovers,2008-11-19,16303643.0,110.0,9800000.0,en,"Drama, Romance",7.0,44051.0
5518,The Death and Life of Bobby Z,2007-07-23,413454.0,97.0,22000000.0,en,"Drama, Action, Thriller, Crime",5.8,15350.0
5523,War,2007-08-24,40452643.0,103.0,25000000.0,en,"Action, Thriller",6.2,97886.0
5559,Hustle & Flow,2005-07-22,23563727.0,116.0,8000000.0,en,"Crime, Drama, Music",7.3,43737.0
5566,Death Race,2008-08-22,76000000.0,105.0,45000000.0,en,"Action, Thriller, Science Fiction",6.4,221113.0
5571,Nim's Island,2008-04-03,100104565.0,96.0,37000000.0,en,"Adventure, Comedy, Family, Fantasy",6.0,37230.0
5599,Itty Bitty Titty Committee,2007-09-28,18479.0,87.0,1000000.0,en,Comedy,5.4,3044.0
5600,Bride Wars,2009-01-09,115375850.0,89.0,30000000.0,en,"Comedy, Romance",5.5,117258.0
5601,W.,2008-10-17,29506464.0,129.0,25100000.0,en,"Drama, History",6.3,50370.0
5605,Madagascar: Escape 2 Africa,2008-10-30,603900000.0,89.0,150000000.0,en,"Family, Adventure, Animation, Comedy",6.6,252340.0
5606,Sherlock Holmes,2009-12-23,524028679.0,129.0,90000000.0,en,"Action, Adventure, Crime, Mystery",7.6,679639.0
5607,Outlander,2008-04-24,7033683.0,115.0,50000000.0,en,"Science Fiction, Action",6.2,79279.0
5632,Shark Tale,2004-09-20,367300000.0,90.0,75000000.0,en,"Animation, Action, Comedy, Family",6.0,201915.0
5665,The Cat in the Hat,2003-11-21,133800000.0,81.0,109000000.0,en,"Comedy, Adventure, Family, Fantasy",4.1,89234.0
5666,After the Sunset,2004-11-12,61300000.0,97.0,60000000.0,en,"Action, Comedy, Crime, Drama",6.2,50298.0
5668,The Girl Next Door,2004-04-09,31635150.0,110.0,21000000.0,en,"Comedy, Romance",6.7,244228.0
5677,Peter Pan,2003-12-18,121975011.0,113.0,100000000.0,en,"Adventure, Fantasy, Family",6.8,81196.0
5685,The Medallion,2003-08-15,34300000.0,89.0,38000000.0,en,"Thriller, Fantasy, Action, Comedy",5.2,44426.0
5698,Cradle 2 the Grave,2003-02-28,56500000.0,101.0,25000000.0,en,"Action, Crime, Drama",5.8,47183.0
5699,Mean Girls,2004-04-30,130161094.0,97.0,17000000.0,en,"Drama, Comedy",7.1,446802.0
5702,Kangaroo Jack,2003-01-17,88900000.0,89.0,60000000.0,en,"Action, Adventure, Comedy, Family, Crime",4.5,34184.0
5703,Veronica Guerin,2003-07-11,9439660.0,98.0,17000000.0,en,"Drama, Crime, Thriller",6.8,22174.0
5706,The Hunted,2003-03-11,34234008.0,94.0,55000000.0,en,"Drama, Action, Thriller, Crime",6.1,52142.0
5735,You Don't Mess with the Zohan,2008-06-05,204313400.0,113.0,90000000.0,en,"Comedy, Action",5.6,217031.0
5738,The Strangers,2008-05-29,82391145.0,86.0,9000000.0,en,"Horror, Mystery, Thriller",6.1,148573.0
5749,Dirty Dancing: Havana Nights,2004-02-27,27685016.0,86.0,25000000.0,en,"Romance, Drama",5.9,29776.0
5750,Bringing Down the House,2003-03-07,132700000.0,105.0,20000000.0,en,"Comedy, Drama",5.6,39670.0
5751,Iron Sky,2012-04-04,10109659.0,93.0,7500000.0,en,"Action, Comedy, Science Fiction",5.9,96969.0
5753,WALL·E,2008-06-22,521311860.0,98.0,180000000.0,en,"Animation, Family, Science Fiction",8.4,1223923.0
5776,The Squid and the Whale,2005-10-05,11100000.0,81.0,1500000.0,en,"Comedy, Drama",7.3,91531.0
5777,Daddy Day Care,2003-05-09,164433867.0,92.0,60000000.0,en,"Comedy, Family",5.6,74769.0
5782,Looney Tunes: Back in Action,2003-11-14,68500000.0,93.0,80000000.0,en,"Animation, Comedy, Family",5.8,40975.0
5785,Torque,2004-01-16,46546197.0,84.0,40000000.0,en,Action,4.1,29759.0
5786,Elf,2003-10-09,228500000.0,97.0,32000000.0,en,"Comedy, Family, Fantasy",7.1,314457.0
5787,Down with Love,2003-05-08,20298207.0,101.0,35000000.0,en,"Comedy, Romance",6.3,44869.0
5799,The Alamo,2004-04-07,25819961.0,137.0,107000000.0,en,"History, War, Drama",6.1,22570.0
5801,What a Girl Wants,2003-03-27,50700000.0,105.0,20000000.0,en,"Comedy, Romance, Drama, Family",5.8,67274.0
5802,Anything Else,2003-08-27,13600000.0,108.0,18000000.0,en,"Drama, Comedy, Romance",6.3,32989.0
5803,Birth,2004-10-29,23900000.0,100.0,20000000.0,en,"Drama, Mystery",6.3,41764.0
5806,Confidence,2003-04-25,23014206.0,97.0,15000000.0,en,"Action, Comedy, Thriller, Crime, Mystery",6.6,35661.0
5807,The Cooler,2003-11-26,10400000.0,101.0,4000000.0,en,"Romance, Drama",6.9,35887.0
5810,St. Trinian's,2007-12-21,29100000.0,101.0,14000000.0,en,"Comedy, Family, Science Fiction",5.8,23885.0
5818,The Haunted Mansion,2003-11-26,182290266.0,99.0,90000000.0,en,"Thriller, Fantasy, Comedy, Family, Mystery",5.2,57791.0
5820,Waitress,2007-05-25,22240529.0,105.0,1500000.0,en,"Drama, Comedy, Romance",7.0,49216.0
5821,The Comebacks,2007-10-19,13500000.0,107.0,15000000.0,en,Comedy,4.3,12126.0
5822,Sydney White,2007-09-21,13620075.0,108.0,16500000.0,en,Comedy,6.2,51826.0
5823,Made of Honor,2008-04-30,106407672.0,101.0,40000000.0,en,"Comedy, Romance",5.8,76857.0
5824,Without a Paddle,2004-08-20,69600000.0,95.0,19000000.0,en,"Comedy, Action, Adventure, Thriller",5.8,51700.0
5826,Quantum of Solace,2008-10-29,589593688.0,106.0,200000000.0,en,"Adventure, Action, Thriller, Crime",6.5,475662.0
5840,The Texas Chainsaw Massacre: The Beginning,2006-10-05,50517763.0,91.0,16000000.0,en,Horror,5.8,78192.0
5841,Basic,2003-04-18,42792561.0,98.0,50000000.0,en,"Action, Drama, Mystery, Thriller, Crime",6.4,67207.0
5848,The Abandoned,2006-09-11,4529892.0,99.0,3000000.0,en,"Horror, Thriller",5.5,13370.0
5878,Savage Grace,2007-05-18,1432799.0,97.0,4600000.0,en,Drama,5.7,12157.0
5906,Revolver,2005-09-11,7164778.0,111.0,27000000.0,en,"Drama, Thriller, Crime, Mystery",6.3,104317.0
5946,May,2003-04-11,264349.0,93.0,500000.0,en,"Drama, Horror, Romance",6.6,41408.0
5952,Surveillance,2008-02-08,1138322.0,97.0,3500000.0,en,"Horror, Thriller, Mystery",6.3,18587.0
5971,The Human Stain,2003-10-29,24900000.0,106.0,30000000.0,en,"Drama, Romance",6.2,32581.0
5972,Agent Cody Banks,2003-03-14,58795814.0,102.0,28000000.0,en,"Action, Adventure, Comedy, Family",5.1,37427.0
5976,Willard,2003-03-14,8564586.0,100.0,22000000.0,en,"Horror, Drama, Thriller",6.1,20672.0
5981,Under the Tuscan Sun,2003-09-20,58878723.0,113.0,18000000.0,en,"Romance, Comedy",6.7,61585.0
5990,In the Cut,2003-10-22,23726793.0,119.0,12000000.0,en,"Drama, Mystery, Thriller",5.4,26874.0
5992,Earth,2007-10-10,109000000.0,90.0,15000000.0,en,Documentary,7.9,14780.0
5993,High School Musical,2006-01-20,3746.0,98.0,4200000.0,en,"Comedy, Drama, Family, Music, Romance, TV Movie",5.6,98517.0
6020,Hoodwinked!,2005-12-16,110000000.0,81.0,8000000.0,en,"Animation, Comedy, Family, Crime",6.5,67416.0
6043,Cheaper by the Dozen,2003-12-24,190212113.0,98.0,40000000.0,en,"Comedy, Family",5.9,110401.0
6054,Deep Blue,2003-05-18,19292500.0,83.0,5000000.0,en,Documentary,7.4,3167.0
6058,Thirteen,2003-08-20,10128960.0,100.0,2000000.0,en,Drama,6.8,100293.0
6059,Scooby-Doo 2: Monsters Unleashed,2004-03-24,181466833.0,93.0,80000000.0,en,"Mystery, Fantasy, Adventure, Comedy",5.3,66354.0
6060,New York Minute,2004-05-07,21289826.0,91.0,30000000.0,en,Comedy,4.9,25240.0
6061,Exorcist: The Beginning,2004-08-20,78000586.0,114.0,80000000.0,en,"Horror, Mystery, Thriller",5.1,40326.0
6071,The Notebook,2004-06-25,115600000.0,123.0,29000000.0,en,"Romance, Drama",7.8,634802.0
6080,Taxi,2004-10-06,71255003.0,97.0,25000000.0,en,"Action, Comedy, Thriller, Crime",4.6,45462.0
6087,Yu-Gi-Oh! The Movie,2004-08-13,29200000.0,90.0,20000000.0,en,"Animation, Fantasy, Action, Science Fiction",5.0,9190.0
6093,Godsend,2004-04-30,30120671.0,102.0,25000000.0,en,"Drama, Horror, Science Fiction, Thriller",4.8,26704.0
6094,House of the Dead,2003-04-11,13818181.0,90.0,12000000.0,en,"Horror, Action, Thriller",2.1,38879.0
6114,Taking Lives,2004-03-19,65470529.0,103.0,45000000.0,en,Thriller,6.2,96759.0
6126,House of Sand and Fog,2003-12-19,16942795.0,126.0,16500000.0,en,Drama,7.5,73427.0
6129,Hide and Seek,2005-01-27,127369981.0,101.0,30000000.0,en,"Horror, Mystery",5.9,89842.0
6141,Vera Drake,2004-10-22,13300000.0,125.0,11000000.0,en,Drama,7.6,27137.0
6159,Ladder 49,2004-10-01,74541707.0,115.0,60000000.0,en,"Drama, Action, Thriller",6.5,59757.0
6161,The Princess Diaries 2: Royal Engagement,2004-08-06,134734481.0,113.0,40000000.0,en,"Comedy, Drama, Family, Romance",5.8,90828.0
6163,Confessions of a Teenage Drama Queen,2004-02-17,29331068.0,90.0,15000000.0,en,Comedy,4.7,31846.0
6169,Laws of Attraction,2004-04-04,30000000.0,90.0,28000000.0,en,"Comedy, Romance",5.9,24798.0
6179,The Ruins,2008-04-02,22818256.0,91.0,8000000.0,en,Horror,5.9,86331.0
6188,The Merchant of Venice,2004-12-03,21600000.0,132.0,30000000.0,en,"Drama, Romance",7.0,38642.0
6195,Spartan,2004-03-12,8112712.0,102.0,19250000.0,en,"Mystery, Action, Drama, Thriller, Crime",6.5,33246.0
6196,We Are Marshall,2006-12-12,43500000.0,124.0,65000000.0,en,"Drama, History",7.0,65398.0
6197,Mysterious Skin,2005-03-30,2148548.0,105.0,3000000.0,en,Drama,7.6,77968.0
6198,Music and Lyrics,2007-02-09,145896422.0,105.0,40000000.0,en,"Comedy, Music, Romance",6.5,108121.0
6208,Kinsey,2004-09-04,17050017.0,118.0,11000000.0,en,Drama,7.1,51332.0
6231,Wicker Park,2004-09-03,13000000.0,114.0,30000000.0,en,"Drama, Mystery, Romance, Thriller",6.9,59132.0
6240,Club Dread,2004-02-27,5001655.0,104.0,8500000.0,en,"Comedy, Horror",5.7,31806.0
6259,Anacondas: The Hunt for the Blood Orchid,2004-08-25,71000000.0,94.0,20000000.0,en,"Adventure, Action, Horror",4.7,34469.0
6267,A Cinderella Story,2004-07-16,70067909.0,95.0,19000000.0,en,"Comedy, Family, Romance",5.9,95501.0
6269,Seed of Chucky,2004-11-12,24829644.0,88.0,12000000.0,en,"Comedy, Horror",4.9,50936.0
6272,Hellboy II: The Golden Army,2008-07-11,160388063.0,120.0,85000000.0,en,"Fantasy, Adventure, Action",7.0,289469.0
6278,Meet Dave,2008-07-08,50650079.0,90.0,60000000.0,en,"Comedy, Science Fiction, Adventure, Family",5.1,44227.0
6282,Harold & Kumar Go to White Castle,2004-07-02,23936908.0,88.0,9000000.0,en,"Comedy, Adventure",7.0,208484.0
6283,Nanny McPhee,2005-10-21,123276807.0,97.0,25000000.0,en,"Fantasy, Comedy, Family",6.6,86736.0
6315,Seven Pounds,2008-12-18,168167691.0,123.0,55000000.0,en,Drama,7.6,317724.0
6316,Public Enemies,2009-07-01,214104620.0,140.0,100000000.0,en,"Crime, History, Drama",6.9,323054.0
6317,The Informant!,2009-09-18,41771168.0,108.0,22000000.0,en,"Drama, Comedy, Crime",6.5,68012.0
6318,Shutter Island,2010-02-14,294804195.0,138.0,80000000.0,en,"Drama, Thriller, Mystery",8.2,1493723.0
6322,Runaway Jury,2003-01-16,80154140.0,127.0,60000000.0,en,"Drama, Thriller",7.1,106321.0
6336,The Zodiac,2005-07-31,86872.0,92.0,1000000.0,en,"Crime, Drama, Thriller, Horror",5.3,7526.0
6342,Jeepers Creepers 2,2003-08-08,63102666.0,104.0,17000000.0,en,"Horror, Thriller",5.7,71950.0
6345,The Upside of Anger,2005-03-11,28237488.0,118.0,12000000.0,en,"Comedy, Drama",6.8,23302.0
6349,Walking Tall,2004-04-02,57223888.0,86.0,46000000.0,en,"Adventure, Drama, Action, Thriller",6.3,110782.0
6366,Hollywood Homicide,2003-06-09,51142659.0,116.0,75000000.0,en,"Action, Adventure, Comedy, Thriller",5.3,39842.0
6391,The New World,2005-12-25,30500000.0,151.0,30000000.0,en,"Drama, History, Romance",6.7,90875.0
6417,Dead End,2003-12-12,77000000.0,83.0,900000.0,en,"Mystery, Horror, Thriller",6.5,32829.0
6421,Fever Pitch,2005-04-06,50500000.0,104.0,30000000.0,en,"Romance, Comedy",6.2,48297.0
6422,The Ghost Writer,2010-02-12,60300000.0,128.0,45000000.0,en,"Thriller, Mystery",7.2,172095.0
6434,Herbie Fully Loaded,2005-06-22,144100000.0,100.0,50000000.0,en,"Comedy, Family, Adventure, Fantasy, Romance",4.9,51487.0
6436,Deuce Bigalow: European Gigolo,2005-08-12,22400000.0,83.0,22000000.0,en,Comedy,4.7,53909.0
6442,Sky High,2005-07-29,86369815.0,100.0,35000000.0,en,"Adventure, Comedy, Family",6.3,96067.0
6443,Red Eye,2005-08-19,57891803.0,85.0,26000000.0,en,"Thriller, Mystery",6.5,150417.0
6477,Frost/Nixon,2008-10-15,18593156.0,122.0,25000000.0,en,"Drama, History",7.7,113230.0
6492,Goya's Ghosts,2006-11-08,9448082.0,114.0,50000000.0,en,"Drama, History",6.9,32185.0
6500,View from the Top,2003-03-21,19526014.0,87.0,30000000.0,en,"Comedy, Romance, Drama",5.3,29300.0
6523,Cabin Fever,2003-08-15,30600000.0,98.0,1500000.0,en,Horror,5.6,84925.0
